Jestem liczbą numer: 0, a moja wartość to: 1
Jestem liczbą numer: 1, a moja wartość to: 2
Jestem liczbą numer: 2, a moja wartość to: 5
Jestem liczbą numer: 3, a moja wartość to: 2
Jestem liczbą numer: 4, a moja wartość to: 1
Jestem liczba numer: 0, a moja wartosc to: 1
Jestem liczba numer: 1, a moja wartosc to: 2
Jestem liczba numer: 2, a moja wartosc to: 3
Jestem liczba numer: 3, a moja wartosc to: 4
Jestem liczba numer: 4, a moja wartosc to: 5
Jestem liczba numer: 0, a moja wartosc to: 1
Jestem liczba numer: 1, a moja wartosc to: 2
Jestem liczba numer: 2, a moja wartosc to: 3
Jestem liczba numer: 3, a moja wartosc to: 4
Jestem liczba numer: 4, a moja wartosc to: 5
Jestem liczba numer: 0, a moja wartosc to: 1
Jestem liczba numer: 1, a moja wartosc to: 2
Jestem liczba numer: 2, a moja wartosc to: 3
Jestem liczba numer: 3, a moja wartosc to: 4
Jestem liczba numer: 4, a moja wartosc to: 5
Jestem liczba numer: 0, a moja wartosc to: 1
Jestem liczba numer: 1, a moja wartosc to: 2
Jestem liczba numer: 2, a moja wartosc to: 3
Jestem liczba numer: 3, a moja wartosc to: 4
Jestem liczba numer: 4, a moja wartosc to: 5
Jestem liczba numer: 0, a moja wartosc to: 1
Jestem liczba numer: 1, a moja wartosc to: 2
Jestem liczba numer: 2, a moja wartosc to: 3
Jestem liczba numer: 3, a moja wartosc to: 4
Jestem liczba numer: 4, a moja wartosc to: 5
Jestem liczba numer: 0, a moja wartosc to: 1
Jestem liczba numer: 1, a moja wartosc to: 2
Jestem liczba numer: 2, a moja wartosc to: 3
Jestem liczba numer: 3, a moja wartosc to: 4
Jestem liczba numer: 4, a moja wartosc to: 5
Jestem liczba numer: 0, a moja wartosc to: 1
Jestem liczba numer: 1, a moja wartosc to: 2
Jestem liczba numer: 2, a moja wartosc to: 3
Jestem liczba numer: 3, a moja wartosc to: 4
Jestem liczba numer: 4, a moja wartosc to: 5
